SATM,SATV,ACT,GPA
370,480,19,2.67
400,330,17,2.982
410,450,17,2.155
410,600,22,3.153
410,470,24,2.496
420,440,25,2.031
430,470,15,2.239
430,460,17,2.712
430,370,18,1.913
440,450,18,2.953
440,450,19,2.08
450,530,23,2.963
470,500,22,2.097
470,480,23,2.92
470,710,27,3.625
480,570,23,3.025
480,520,25,3.564
480,530,26,2.732
490,540,20,3.365
490,460,20,2.913
490,500,20,3.044
490,500,23,3.465
490,560,25,3.371
490,640,25,3.672
490,560,26,3.522
500,630,24,2.978
510,520,19,2.798
510,540,20,2.608
510,460,21,3.202
510,540,23,3.262
510,520,25,3.698
520,480,21,3.244
520,530,23,2.075
520,530,23,2.673
520,630,24,3.19
520,560,24,3.311
520,610,24,3.039
520,600,26,3.1
520,610,26,3.471
520,640,26,3.631
520,600,28,3.413
530,280,20,1.789
530,520,26,2.199
530,510,26,3.803
530,640,27,3.804
530,560,28,3.502
540,470,19,2.796
540,430,21,3.442
540,560,24,3.487
540,560,24,1.704
540,630,27,3.105
540,610,27,2.275
540,630,29,3.594
550,410,18,2.664
550,650,23,3.657
550,590,23,3.326
550,590,24,3.659
550,700,26,3.48
550,630,27,3.479
550,580,28,3.605
550,660,28,3.563
550,650,30,3.134
560,350,16,2.488
560,430,21,2.716
560,580,22,3.316
560,540,23,3.463
560,520,23,3.315
560,610,26,2.989
560,520,27,3.222
560,670,30,3.947
570,320,18,2.932
570,570,23,3.183
570,610,27,3.41
570,590,28,3.127
570,570,29,3.5
570,720,30,3.662
570,670,30,2.983
580,490,22,2.507
580,550,23,3.667
580,520,24,3.441
580,620,25,3.399
580,550,26,3.621
580,550,26,2.784
580,580,26,3.485
580,660,26,3.016
580,540,26,3.695
580,560,27,3.77
580,650,28,3.765
580,570,29,3.575
580,620,29,3.03
590,620,22,2.665
590,500,24,2.829
590,580,26,2.496
590,570,26,3.638
590,730,28,3.792
590,720,28,3.847
590,640,30,3.544
590,660,31,3.236
600,480,22,3.26
600,670,25,3.594
600,540,27,3.646
600,710,28,2.453
600,590,28,3.287
600,660,28,2.452
600,580,28,3.441
600,710,28,3.821
600,650,29,3.301
600,670,31,3.812
610,560,23,3.452
610,630,23,2.528
610,540,27,3.735
610,570,27,3.618
610,670,27,3.167
610,630,27,3.015
610,530,28,2.976
610,590,28,3.75
610,650,28,2.972
610,630,28,3.647
610,680,29,2.94
610,650,29,2.738
610,660,29,2.943
610,610,29,2.121
610,650,31,3.593
620,530,21,2.208
620,600,24,3.684
620,560,25,3.146
620,570,26,3.03
620,560,26,3.686
620,570,27,3.618
620,570,27,3.254
620,600,27,3.407
620,630,29,3.665
620,600,30,2.586
620,760,32,3.593
620,730,33,3.916
630,490,24,3.319
630,700,26,3.145
630,610,26,3.222
630,490,27,3.327
630,620,28,3.424
630,570,28,3.457
630,650,32,3.598
640,480,24,2.607
640,660,29,2.864
640,620,29,3.712
640,690,29,3.319
640,670,29,3.929
640,640,29,3.838
640,600,30,3.707
640,580,30,3.768
640,710,31,3.745
640,700,31,3.178
640,720,31,3.76
640,730,34,3.885
640,670,34,3.536
650,490,22,3.409
650,600,27,3.204
650,630,27,3.324
650,570,27,3.126
650,630,29,3.649
650,490,29,3.528
650,620,29,2.828
650,720,32,3.941
650,690,33,3.401
660,560,26,3.751
660,570,26,3.128
660,630,28,3.66
660,640,29,3.464
660,710,30,3.527
660,680,30,3.344
660,780,31,3.737
660,710,31,3.61
660,630,31,3.618
660,610,31,3.794
660,560,31,2.857
660,740,32,2.456
660,730,32,3.909
660,690,32,3.909
670,540,27,3.58
670,570,27,3.83
670,620,27,3.475
670,460,27,2.048
670,700,27,3.83
670,630,30,3.407
670,650,32,3.288
670,620,32,3.91
670,650,34,3.872
680,680,29,3.538
680,630,29,3.919
680,690,30,3.406
680,670,30,2.925
680,700,31,3.483
680,720,33,3.824
690,350,21,3.366
690,600,26,2.513
690,580,27,3.284
690,620,29,2.827
690,630,30,3.877
690,750,31,3.811
690,680,31,3.791
690,660,31,3.813
690,630,31,3.954
690,700,32,3.78
690,720,32,3.851
690,680,32,3.764
690,750,32,3.823
690,680,32,3.676
690,590,33,3.535
690,800,34,3.894
700,670,29,3.677
700,610,29,2.645
700,670,30,3.992
700,760,30,3.975
700,630,31,3.62
700,760,31,3.493
700,640,31,3.912
700,680,31,3.485
700,640,32,2.721
700,700,32,3.942
700,580,33,3.898
700,800,34,2.534
700,680,35,3.911
710,600,25,3.061
710,670,28,3.877
710,640,29,3.898
710,590,29,3.854
710,700,31,3.763
710,680,32,4
710,750,32,3.943
710,740,32,2.708
710,730,33,3.643
710,730,33,3.98
710,720,33,3.642
710,630,33,3.874
720,590,25,3.317
720,650,27,3.934
720,680,27,3.78
720,700,30,3.987
720,630,31,2.707
720,720,34,3.37
720,770,35,3.981
730,600,25,3.613
730,590,28,3.534
730,610,30,3.8
730,730,30,3.989
730,750,31,3.947
730,580,32,3.433
730,690,33,3.936
740,740,34,3.833
750,650,30,3.33
750,650,30,3.469
750,800,34,3.944
750,730,35,3.882
760,590,31,3.887
760,720,32,3.784
760,750,34,3.757
770,610,29,2.01
770,650,31,3.988
770,670,32,3.303
770,730,34,3.325
780,560,25,2.852
780,800,32,3.929
790,730,33,3.154
790,710,34,3.928
790,760,34,3.889
790,660,34,3.821
790,780,35,3.887
800,750,32,3.653
800,630,33,3.925
800,720,33,3.888
800,680,34,3.765
